spec_name,covariate,level,smd_before,abs_smd_before,smd_after,abs_smd_after
spec_med_classes,neuromuscular_disease_flag,1,0.08240940844176343,0.08240940844176343,-0.03443880352491269,0.03443880352491269
spec_med_classes,osa_flag,1,0.5458221322934309,0.5458221322934309,-0.020242038131154494,0.020242038131154494
spec_med_classes,race_ethnicity_group,Hispanic,0.014736155282735327,0.014736155282735327,-0.04351268712993245,0.04351268712993245
spec_med_classes,race_ethnicity_group,Non-Hispanic Asian,-0.0014494220576841189,0.0014494220576841189,0.009183979479633059,0.009183979479633059
spec_med_classes,race_ethnicity_group,Non-Hispanic Black,0.12530013608484356,0.12530013608484356,0.03136821663048852,0.03136821663048852
spec_med_classes,race_ethnicity_group,Non-Hispanic White,-0.13966343773728324,0.13966343773728324,-0.029738338584762804,0.029738338584762804
spec_med_classes,race_ethnicity_group,Other/Multiracial,0.08218343754954874,0.08218343754954874,0.04415376832963223,0.04415376832963223
spec_med_classes,race_ethnicity_group,Unknown/Missing,-0.13005121775247105,0.13005121775247105,-0.05368281270950189,0.05368281270950189
spec_med_classes,sex,Female,-0.11973063293135498,0.11973063293135498,-0.026492712930452075,0.026492712930452075
spec_med_classes,sex,Male,0.12057798086379491,0.12057798086379491,0.026492712930452182,0.026492712930452182
spec_med_classes,sex,Unknown,-0.02896422231817461,0.02896422231817461,0.0,0.0
